pau	62
pau	62
pau	118.75
ao	162.5
th	112.5
er	162.5
ah	50
v	100
dh	56.25
ax	31.25
d	81.25
ey	118.75
n	50
jh	56.2499
er	62.5
t	112.5
r	56.25
ey	100
l	168.75
pau	18.7501
f	137.5
ih	25.0001
l	112.5
ax	25
p	62.5001
s	93.75
t	56.2498
iy	106.25
l	156.25
z	137.5
pau	37.4999
eh	18.75
t	56.2501
s	93.75
eh	81.2499
t	43.7501
er	125
ax	99.9999
pau	193.75
pau	193.25
n	106.25
aa	131.25
t	68.75
ae	50
t	56.25
dh	68.75
ih	75
s	87.5
p	100
er	37.5
t	87.5
ih	37.4999
k	68.7501
y	43.75
ax	18.75
l	75
er	62.5
k	125
ey	156.25
s	187.5
pau	43.7499
t	112.5
aa	187.5
m	118.75
pau	56.2501
ax	49.9999
p	137.5
aa	37.4999
l	106.25
ax	31.25
jh	75.0001
ay	125
z	68.7499
d	25.0001
w	87.4998
ih	62.5
t	50
m	56.2501
ao	106.25
r	206.25
pau	162.5
pau	137
f	68.75
ao	18.75
r	18.75
dh	75
ax	43.75
t	100
w	87.5
eh	31.25
n	31.25
t	18.75
iy	43.75
ax	43.75
th	100
t	118.75
ay	131.25
m	81.2501
dh	31.25
ae	87.5
t	49.9999
iy	131.25
v	43.75
n	81.25
ih	50
ng	125
dh	31.25
ax	31.25
t	168.75
uw	87.4999
m	87.5001
eh	99.9999
n	75.0001
sh	143.75
uh	62.5
k	81.25
hh	68.7501
ae	206.25
n	75
d	43.7501
z	125
pau	56.2498
pau	212
l	100
ao	118.75
r	106.25
d	75
b	50
ah	62.5
t	43.75
ay	43.75
m	75
g	43.75
l	50
ae	112.5
d	37.4999
t	75.0001
ax	25
s	118.75
iy	93.75
y	43.7501
uw	112.5
ax	18.7501
g	68.75
eh	87.5
n	125
f	112.5
ih	74.9998
l	231.25
pau	175
pau	199.5
w	112.5
ih	25
l	31.25
w	81.25
iy	93.75
eh	93.75
v	81.25
er	81.25
f	125
er	43.75
g	81.25
eh	112.5
t	25.0001
ih	93.75
t	37.4999
pau	43.7501
pau	162
pau	31.25
g	50
aa	118.75
d	56.25
b	68.75
l	87.5
eh	68.75
s	118.75
eh	37.5
m	93.75
ay	125
hh	100
ow	100
p	68.7499
ay	37.5001
l	43.75
g	87.5
ow	143.75
aa	81.2501
n	74.9999
s	125
iy	125
ih	18.75
ng	106.25
dh	25.0001
eh	62.5
m	81.25
f	87.5001
er	62.5
eh	106.25
v	75
er	212.5
pau	112.5
pau	105.75
pau	75
ae	87.5
n	37.5
d	25
y	43.75
uw	62.5
ao	156.25
l	75
w	18.75
ey	75
z	62.5
w	50
aa	87.5
n	56.25
t	31.25
t	43.75
ax	25
s	125
iy	112.5
ih	31.25
t	68.75
ih	37.5
n	50
dh	43.75
ax	25
s	125
uh	18.7499
p	131.25
er	68.75
l	118.75
ax	31.25
t	99.9999
ih	49.9999
v	75.0001
d	56.2501
ih	18.7499
g	99.9999
r	93.75
iy	262.5
pau	131.25
pau	187
g	62.5
ae	212.5
d	68.75
y	62.5
ao	25
r	56.25
l	112.5
eh	68.75
t	25
er	68.75
k	118.75
ey	75.0001
m	87.5
jh	62.5
ah	68.75
s	87.5
t	56.2499
ih	43.7501
n	87.5
t	81.25
ay	237.5
m	106.25
pau	87.4999
pau	137
hh	75
iy	62.5
t	106.25
er	112.5
n	68.75
d	25
sh	118.75
aa	50
r	68.75
p	100
l	87.5
iy	131.25
ae	56.25
n	62.5
d	37.5
f	75
ey	106.25
s	56.2499
t	43.7501
g	75
r	18.75
eh	81.2499
g	68.7501
s	100
ax	37.5
n	43.7499
ax	43.7501
k	106.25
r	31.25
ao	56.2499
s	125
dh	87.5001
ax	31.25
t	93.75
ey	99.9999
b	75
ax	18.75
l	112.5
pau	200
pau	193.25
ay	43.75
m	62.5
p	68.75
l	62.5
ey	56.25
ih	18.75
ng	93.75
ax	25
s	118.75
ih	43.75
ng	68.75
g	18.75
ax	18.75
l	75
hh	75
ae	168.75
n	50
d	31.25
ih	56.2499
n	43.7501
w	87.5
ah	24.9999
t	37.5001
l	112.5
uh	18.75
k	75
s	68.7499
l	50.0001
ay	68.75
k	75.0001
ax	18.7499
l	125
uw	75.0001
z	81.2499
ih	43.7501
ng	93.75
g	49.9999
ey	187.5
